i,label,score,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
408,0,0.0,2.249584913253784,2.249584913253784,2.249584913253784,2.249584913253784,2.249584913253784,2.249584913253784,2.249584913253784,2.249584913253784,2.249584913253784,2.249584913253784,2.249584913253784,2.249584913253784,2.249584913253784,2.249584913253784,2.249584913253784,2.249584913253784,2.249584913253784,2.249584913253784,2.249584913253784,2.249584913253784,1.7454837560653687,1.6868304014205933
312,2,1.0,2.3181962966918945,2.3181962966918945,2.3181962966918945,2.3146088123321533,2.3146088123321533,2.316622257232666,2.316622257232666,2.316622257232666,2.316622257232666,2.316622257232666,2.316622257232666,2.316622257232666,2.316622257232666,2.316622257232666,2.316622257232666,2.316622257232666,2.2654449939727783,2.2672524452209473,2.2672524452209473,2.2672524452209473,2.2672524452209473,2.2672524452209473
34,4,2.0,2.2965497970581055,2.2965497970581055,2.2965497970581055,2.3241097927093506,2.3222098350524902,2.3321104049682617,2.335681915283203,2.328456163406372,2.3289706707000732,2.338409662246704,2.338409662246704,2.331876754760742,2.341485023498535,2.341485023498535,2.3402023315429688,2.3435072898864746,2.3541228771209717,2.388970375061035,2.3987748622894287,2.3831989765167236,2.3770346641540527,2.3770346641540527
5,6,3.0,2.2660374641418457,2.2660374641418457,2.2660374641418457,2.223480463027954,2.216095209121704,2.1805813312530518,2.1805813312530518,2.146122932434082,2.144115447998047,2.1251332759857178,2.092216968536377,2.0914182662963867,2.074012279510498,2.071444272994995,2.0429561138153076,2.0316030979156494,1.9964518547058105,1.965894341468811,1.9324618577957153,1.9411169290542603,1.9784036874771118,1.9641122817993164
304,6,4.0,2.3075764179229736,2.3075764179229736,2.3075764179229736,2.3075764179229736,2.2571020126342773,2.226947546005249,2.226947546005249,2.226947546005249,2.226947546005249,2.226947546005249,2.1712241172790527,2.138312816619873,2.134336471557617,2.129988670349121,2.129988670349121,2.100682497024536,2.0602853298187256,2.0602853298187256,2.058739185333252,2.058739185333252,2.058739185333252,2.069869041442871
47,3,5.0,2.235964298248291,2.235964298248291,2.235964298248291,2.1887423992156982,2.1887423992156982,2.157097101211548,2.116351842880249,2.0966999530792236,2.0966999530792236,2.0733532905578613,2.046344041824341,1.9889211654663086,1.986257791519165,1.9589663743972778,1.9220753908157349,1.890028476715088,1.860891580581665,1.8174011707305908,1.7921127080917358,1.7558947801589966,1.7207586765289307,1.6885201930999756
310,3,6.0,2.2049028873443604,2.2049028873443604,2.2049028873443604,2.2049028873443604,2.2049028873443604,2.2049028873443604,2.2049028873443604,2.2049028873443604,2.2049028873443604,2.2049028873443604,2.0281827449798584,2.0281827449798584,1.988180160522461,1.988180160522461,1.988180160522461,1.988180160522461,1.8990625143051147,1.8643051385879517,1.8044257164001465,1.8044257164001465,1.8044257164001465,1.8044257164001465
52,0,7.0,2.1936111450195312,2.0929312705993652,2.063828945159912,1.995392918586731,1.995392918586731,1.995392918586731,1.995392918586731,1.9585967063903809,1.9337488412857056,1.8943053483963013,1.8765020370483398,1.8445221185684204,1.8257153034210205,1.7947213649749756,1.779395580291748,1.779395580291748,1.7218893766403198,1.6961023807525635,1.6442878246307373,1.6442878246307373,1.605302095413208,1.5466231107711792
53,6,8.0,2.202118396759033,2.192429542541504,2.1924333572387695,2.1924333572387695,2.174448251724243,2.1508166790008545,2.1357429027557373,2.107330322265625,2.105821132659912,2.0859713554382324,2.0757932662963867,2.043124198913574,2.043124198913574,2.0344784259796143,2.0150222778320312,1.9939875602722168,1.9520212411880493,1.9447578191757202,1.9181069135665894,1.9181069135665894,1.9181069135665894,1.9077681303024292
40,2,9.0,2.367776870727539,2.367776870727539,2.367776870727539,2.39111590385437,2.39111590385437,2.39111590385437,2.3807506561279297,2.3741960525512695,2.3605613708496094,2.3683691024780273,2.3683691024780273,2.3644585609436035,2.3553061485290527,2.3553061485290527,2.337040424346924,2.3393948078155518,2.3233911991119385,2.3237948417663574,2.3088300228118896,2.3088300228118896,2.2819011211395264,2.268894910812378
16,4,10.0,2.323174238204956,2.323174238204956,2.323174238204956,2.359539747238159,2.359539747238159,2.359539747238159,2.3599536418914795,2.36043643951416,2.3499131202697754,2.3590779304504395,2.356025218963623,2.357973337173462,2.356672525405884,2.3458304405212402,2.3461673259735107,2.354550838470459,2.357832670211792,2.3736422061920166,2.384895086288452,2.3795700073242188,2.3729488849639893,2.3708455562591553
6,0,11.0,2.229194164276123,2.229194164276123,2.229194164276123,2.0816221237182617,2.068329095840454,2.029259443283081,2.029259443283081,2.00169038772583,2.00169038772583,1.9521044492721558,1.9293524026870728,1.9293524026870728,1.8610647916793823,1.8610647916793823,1.8296709060668945,1.7850062847137451,1.7648743391036987,1.735703468322754,1.6846998929977417,1.6541626453399658,1.6405220031738281,1.5941848754882812
46,9,12.0,2.227051258087158,2.227051258087158,2.227051258087158,2.2087478637695312,2.2093377113342285,2.2093377113342285,2.1898679733276367,2.188225030899048,2.177842855453491,2.1773440837860107,2.1710093021392822,2.1571977138519287,2.1571977138519287,2.1398308277130127,2.134979486465454,2.125433921813965,2.107320547103882,2.0730342864990234,2.063908576965332,2.0139553546905518,2.0111873149871826,1.9772343635559082
50,9,13.0,2.2171478271484375,2.2171478271484375,2.2171478271484375,2.192840814590454,2.1866226196289062,2.173107624053955,2.173107624053955,2.1556031703948975,2.146622657775879,2.1348042488098145,2.1288821697235107,2.1288821697235107,2.088312864303589,2.0811734199523926,2.0599923133850098,2.055945873260498,2.0337164402008057,1.9966752529144287,1.9819040298461914,1.959610939025879,1.9225678443908691,1.8895496129989624
27,4,14.0,2.3316805362701416,2.3316805362701416,2.3316805362701416,2.3692548274993896,2.3761093616485596,2.3748013973236084,2.3727645874023438,2.3752477169036865,2.359354019165039,2.3801259994506836,2.3739755153656006,2.379659652709961,2.372188091278076,2.372188091278076,2.384032726287842,2.3914871215820312,2.3914871215820312,2.3914871215820312,2.4643547534942627,2.4596309661865234,2.4526779651641846,2.459109306335449
1,0,15.0,2.1949596405029297,2.147834300994873,2.1239686012268066,2.0660252571105957,2.0405354499816895,2.025287389755249,2.006739616394043,1.976982593536377,1.965756893157959,1.91975998878479,1.897082805633545,1.8729150295257568,1.8388503789901733,1.8139746189117432,1.7802774906158447,1.7275805473327637,1.705865502357483,1.6696422100067139,1.6130470037460327,1.6130470037460327,1.5644609928131104,1.4963287115097046
4,7,16.0,2.327678680419922,2.327678680419922,2.327678680419922,2.337960720062256,2.337960720062256,2.337960720062256,2.337960720062256,2.2928690910339355,2.2803761959075928,2.2609496116638184,2.2368485927581787,2.226529836654663,2.2111990451812744,2.1973609924316406,2.18056583404541,2.156280994415283,2.1243937015533447,2.0896081924438477,2.0889711380004883,2.0705196857452393,2.0599608421325684,2.012849807739258
2,4,17.0,2.3318803310394287,2.3318803310394287,2.3318803310394287,2.3529868125915527,2.350935459136963,2.3577165603637695,2.3483164310455322,2.3483164310455322,2.344782590866089,2.3445799350738525,2.348599910736084,2.345526695251465,2.3537588119506836,2.3413949012756348,2.3470115661621094,2.3532941341400146,2.380345344543457,2.3881497383117676,2.404900074005127,2.3969337940216064,2.3883605003356934,2.3896188735961914
